SRS RGASoft 4.1.0 - Residual Gas Analyzer Software
Document Created on, Friday, October 10, 2025 10:32:26 AM, Central Daylight Time
RGA ID, SRSRGA200VER0.24SN18194


Scan Mode, Analog
Number of Data Points, 3726
Units, Torr
Start Mass, 1, AMU
Stop Mass, 150, AMU
Points Per AMU, 25
Scan Rate, 5.00
Detector, Faraday Cup
Focus Voltage, 90, V
Ion Energy, 12, eV
Electron Energy, 70, eV
CEM Voltage, 0, V
CEM Gain, 1.145
Partial Pressure Sensitivity Factor, 5.64
Total Pressure Sensitivity Factor, 0.237
Filament Current, 1.60, mA


Analog Scan Data
----------------

              Mass (AMU),         Intensity (Torr)
                   10.48,              -4.8582e-12
                   10.52,              -6.7199e-12
                   10.56,              -6.5780e-12
                   10.60,              -3.9539e-12
                   10.64,              -3.3333e-12
                   10.68,              -9.7340e-12
                   10.72,              -7.4823e-12
                   10.76,              -1.1330e-11
                   10.80,              -8.1028e-12
                   10.84,              -2.9965e-12
                   10.88,              -1.0461e-12
                   10.92,              -3.2092e-12
                   10.96,              -2.9078e-12
                   11.00,              -7.4823e-12
                   11.04,              -8.1028e-12
                   11.08,              -4.7872e-12
                   11.12,              -9.0071e-12
                   11.16,              -9.1312e-12
                   11.20,              -9.3262e-12
                   11.24,              -7.5532e-12
                   11.28,              -3.1915e-12
                   11.32,              -2.7128e-12
                   11.36,              -1.0993e-12
                   11.40,              -3.3688e-13
                   11.44,              -4.5745e-12
                   11.48,              -8.3333e-13
                   11.52,               1.0957e-11
                   11.56,               2.0993e-11
                   11.60,               2.7216e-11
                   11.64,               4.2216e-11
                   11.68,               5.0372e-11
                   11.72,               6.3582e-11
                   11.76,               7.9645e-11
                   11.80,               8.2943e-11
                   11.84,               9.1099e-11
                   11.88,               1.0259e-10
                   11.92,               1.0853e-10
                   11.96,               1.1862e-10
                   12.00,               1.2262e-10
                   12.04,               1.2271e-10
                   12.08,               1.2220e-10
                   12.12,               1.1622e-10
                   12.16,               1.1071e-10
                   12.20,               1.0410e-10
                   12.24,               8.2323e-11
                   12.28,               5.7270e-11
                   12.32,               4.0426e-11
                   12.36,               2.4344e-11
                   12.40,               1.6543e-11
                   12.44,               1.7340e-11
                   12.48,               1.1596e-11
                   12.52,               1.1454e-11
                   12.56,               6.3475e-12
                   12.60,              -2.5709e-12
                   12.64,              -1.6667e-12
                   12.68,              -6.9149e-13
                   12.72,              -3.7411e-12
                   12.76,              -1.5957e-12
                   12.80,              -3.0674e-12
                   12.84,              -2.6418e-12
                   12.88,               2.4645e-12
                   12.92,               4.5567e-12
                   12.96,               2.3936e-12
                   13.00,               5.1950e-12
                   13.04,               6.7553e-12
                   13.08,               1.0319e-11
                   13.12,               1.9450e-11
                   13.16,               2.4486e-11
                   13.20,               2.5798e-11
                   13.24,               3.3652e-11
                   13.28,               4.5195e-11
                   13.32,               6.9894e-11
                   13.36,               1.0436e-10
                   13.40,               1.5770e-10
                   13.44,               2.6672e-10
                   13.48,               5.7023e-10
                   13.52,               1.3713e-09
                   13.56,               2.8501e-09
                   13.60,               4.5299e-09
                   13.64,               5.6874e-09
                   13.68,               6.6268e-09
                   13.72,               7.3790e-09
                   13.76,               7.9897e-09
                   13.80,               8.7738e-09
                   13.84,               9.3702e-09
                   13.88,               9.4070e-09
                   13.92,               9.3828e-09
                   13.96,               9.3222e-09
                   14.00,               9.5162e-09
                   14.04,               9.4790e-09
                   14.08,               8.7494e-09
                   14.12,               8.2600e-09
                   14.16,               7.5656e-09
                   14.20,               5.2612e-09
                   14.24,               2.0727e-09
                   14.28,               9.1514e-10
                   14.32,               5.3179e-10
                   14.36,               3.5230e-10
                   14.40,               2.4376e-10
                   14.44,               1.7996e-10
                   14.48,               1.4385e-10
                   14.52,               1.1676e-10
                   14.56,               9.3316e-11
                   14.60,               8.2784e-11
                   14.64,               7.3369e-11
                   14.68,               7.4415e-11
                   14.72,               6.8298e-11
                   14.76,               6.5160e-11
                   14.80,               5.8723e-11
                   14.84,               5.6241e-11
                   14.88,               5.6543e-11
                   14.92,               6.0355e-11
                   14.96,               5.8723e-11
                   15.00,               5.9734e-11
                   15.04,               6.2695e-11
                   15.08,               5.8404e-11
                   15.12,               6.3723e-11
                   15.16,               6.9486e-11
                   15.20,               7.4504e-11
                   15.24,               7.2340e-11
                   15.28,               8.1738e-11
                   15.32,               9.7642e-11
                   15.36,               1.3303e-10
                   15.40,               1.9823e-10
                   15.44,               3.3131e-10
                   15.48,               6.7922e-10
                   15.52,               1.5906e-09
                   15.56,               3.0841e-09
                   15.60,               4.6322e-09
                   15.64,               5.8070e-09
                   15.68,               6.6186e-09
                   15.72,               7.3273e-09
                   15.76,               7.8748e-09
                   15.80,               8.4474e-09
                   15.84,               8.9935e-09
                   15.88,               9.1440e-09
                   15.92,               9.0033e-09
                   15.96,               9.1931e-09
                   16.00,               9.3413e-09
                   16.04,               9.0867e-09
                   16.08,               8.5110e-09
                   16.12,               8.2323e-09
                   16.16,               7.1385e-09
                   16.20,               4.1340e-09
                   16.24,               1.6255e-09
                   16.28,               8.3330e-10
                   16.32,               5.5941e-10
                   16.36,               4.4463e-10
                   16.40,               4.2879e-10
                   16.44,               5.1402e-10
                   16.48,               8.9926e-10
                   16.52,               2.0539e-09
                   16.56,               4.0728e-09
                   16.60,               5.9825e-09
                   16.64,               7.5306e-09
                   16.68,               8.5835e-09
                   16.72,               9.3713e-09
                   16.76,               1.0252e-08
                   16.80,               1.1106e-08
                   16.84,               1.1951e-08
                   16.88,               1.2235e-08
                   16.92,               1.2026e-08
                   16.96,               1.2287e-08
                   17.00,               1.3014e-08
                   17.04,               1.2749e-08
                   17.08,               1.1624e-08
                   17.12,               1.1529e-08
                   17.16,               1.0681e-08
                   17.20,               6.6214e-09
                   17.24,               2.3749e-09
                   17.28,               1.2312e-09
                   17.32,               9.7729e-10
                   17.36,               1.0510e-09
                   17.40,               1.4336e-09
                   17.44,               2.4561e-09
                   17.48,               5.8407e-09
                   17.52,               1.3468e-08
                   17.56,               2.2764e-08
                   17.60,               3.0301e-08
                   17.64,               3.7258e-08
                   17.68,               4.2459e-08
                   17.72,               4.5632e-08
                   17.76,               4.9277e-08
                   17.80,               5.4009e-08
                   17.84,               5.8364e-08
                   17.88,               5.9726e-08
                   17.92,               5.8663e-08
                   17.96,               5.8541e-08
                   18.00,               6.2443e-08
                   18.04,               6.1122e-08
                   18.08,               5.5218e-08
                   18.12,               5.6418e-08
                   18.16,               5.1656e-08
                   18.20,               2.9819e-08
                   18.24,               5.9334e-09
                   18.28,               1.8004e-09
                   18.32,               8.8989e-10
                   18.36,               5.4683e-10
                   18.40,               3.7301e-10
                   18.44,               2.7312e-10
                   18.48,               2.0849e-10
                   18.52,               1.8293e-10
                   18.56,               1.7720e-10
                   18.60,               1.7996e-10
                   18.64,               1.8441e-10
                   18.68,               2.0518e-10
                   18.72,               2.1858e-10
                   18.76,               2.4035e-10
                   18.80,               2.7603e-10
                   18.84,               3.0305e-10
                   18.88,               3.2417e-10
                   18.92,               3.5998e-10
                   18.96,               3.9798e-10
                   19.00,               4.5062e-10
                   19.04,               5.2555e-10
                   19.08,               5.9654e-10
                   19.12,               6.9181e-10
                   19.16,               8.4812e-10
                   19.20,               1.0671e-09
                   19.24,               1.4864e-09
                   19.28,               2.2633e-09
                   19.32,               3.5580e-09
                   19.36,               5.8101e-09
                   19.40,               9.7073e-09
                   19.44,               1.9400e-08
                   19.48,               4.7345e-08
                   19.52,               8.0582e-08
                   19.56,               1.1022e-07
                   19.60,               1.3656e-07
                   19.64,               1.5064e-07
                   19.68,               1.6407e-07
                   19.72,               1.8005e-07
                   19.76,               1.9441e-07
                   19.80,               2.0828e-07
                   19.84,               2.0868e-07
                   19.88,               2.0095e-07
                   19.92,               2.0682e-07
                   19.96,               2.2277e-07
                   20.00,               2.2001e-07
                   20.04,               2.0069e-07
                   20.08,               2.0232e-07
                   20.12,               1.9440e-07
                   20.16,               1.1949e-07
                   20.20,               2.1999e-08
                   20.24,               4.0775e-09
