SRS RGASoft 4.1.0 - Residual Gas Analyzer Software
Document Created on, Thursday, October 9, 2025 11:25:23 AM, Central Daylight Time
RGA ID, SRSRGA200VER0.24SN18194


Scan Mode, Analog
Number of Data Points, 3726
Units, Torr
Start Mass, 1, AMU
Stop Mass, 150, AMU
Points Per AMU, 25
Scan Rate, 5.00
Detector, Faraday Cup
Focus Voltage, 90, V
Ion Energy, 12, eV
Electron Energy, 70, eV
CEM Voltage, 0, V
CEM Gain, 1.145
Partial Pressure Sensitivity Factor, 5.64
Total Pressure Sensitivity Factor, 0.237
Filament Current, 1.60, mA


Analog Scan Data
----------------

              Mass (AMU),         Intensity (Torr)
                   11.24,              -1.8262e-11
                   11.28,              -1.4876e-11
                   11.32,               1.8191e-11
                   11.36,               1.4043e-11
                   11.40,               9.4149e-12
                   11.44,               2.1862e-11
                   11.48,               4.9521e-11
                   11.52,               9.4805e-11
                   11.56,               1.5227e-10
                   11.60,               2.1530e-10
                   11.64,               2.7633e-10
                   11.68,               3.4330e-10
                   11.72,               3.8656e-10
                   11.76,               4.3399e-10
                   11.80,               4.7972e-10
                   11.84,               5.0397e-10
                   11.88,               5.2450e-10
                   11.92,               5.5541e-10
                   11.96,               5.5452e-10
                   12.00,               5.4598e-10
                   12.04,               5.3449e-10
                   12.08,               5.0743e-10
                   12.12,               4.7739e-10
                   12.16,               4.3663e-10
                   12.20,               3.6037e-10
                   12.24,               2.4741e-10
                   12.28,               1.6794e-10
                   12.32,               1.1514e-10
                   12.36,               8.9770e-11
                   12.40,               6.1773e-11
                   12.44,               5.0266e-11
                   12.48,               4.1454e-11
                   12.52,               3.2784e-11
                   12.56,               3.4167e-11
                   12.60,               4.0195e-11
                   12.64,               3.9309e-11
                   12.68,               4.0567e-11
                   12.72,               4.0869e-11
                   12.76,               4.0266e-11
                   12.80,               4.8174e-11
                   12.84,               5.1401e-11
                   12.88,               5.3050e-11
                   12.92,               5.7163e-11
                   12.96,               5.9060e-11
                   13.00,               5.6631e-11
                   13.04,               6.6613e-11
                   13.08,               6.3369e-11
                   13.12,               6.8706e-11
                   13.16,               6.8457e-11
                   13.20,               6.3972e-11
                   13.24,               6.9096e-11
                   13.28,               7.9131e-11
                   13.32,               9.3014e-11
                   13.36,               1.3775e-10
                   13.40,               2.2207e-10
                   13.44,               4.2004e-10
                   13.48,               1.1082e-09
                   13.52,               2.7868e-09
                   13.56,               4.7120e-09
                   13.60,               6.1929e-09
                   13.64,               7.1834e-09
                   13.68,               7.7022e-09
                   13.72,               8.3030e-09
                   13.76,               8.7806e-09
                   13.80,               9.0809e-09
                   13.84,               9.3336e-09
                   13.88,               9.4384e-09
                   13.92,               9.5035e-09
                   13.96,               9.3911e-09
                   14.00,               8.9075e-09
                   14.04,               8.6200e-09
                   14.08,               7.8411e-09
                   14.12,               7.0981e-09
                   14.16,               6.3272e-09
                   14.20,               3.4300e-09
                   14.24,               1.2794e-09
                   14.28,               6.5411e-10
                   14.32,               4.0739e-10
                   14.36,               2.7238e-10
                   14.40,               2.0275e-10
                   14.44,               1.5461e-10
                   14.48,               1.3713e-10
                   14.52,               1.3677e-10
                   14.56,               1.4780e-10
                   14.60,               1.7245e-10
                   14.64,               2.1282e-10
                   14.68,               2.3339e-10
                   14.72,               2.5929e-10
                   14.76,               2.8530e-10
                   14.80,               3.0227e-10
                   14.84,               3.2420e-10
                   14.88,               3.3940e-10
                   14.92,               3.4631e-10
                   14.96,               3.5465e-10
                   15.00,               3.5725e-10
                   15.04,               3.5149e-10
                   15.08,               3.5725e-10
                   15.12,               3.4642e-10
                   15.16,               3.3746e-10
                   15.20,               3.1830e-10
                   15.24,               2.6202e-10
                   15.28,               2.2106e-10
                   15.32,               2.3126e-10
                   15.36,               2.7193e-10
                   15.40,               4.0351e-10
                   15.44,               8.0709e-10
                   15.48,               2.1081e-09
                   15.52,               4.6146e-09
                   15.56,               7.1812e-09
                   15.60,               8.8005e-09
                   15.64,               1.0011e-08
                   15.68,               1.0789e-08
                   15.72,               1.1252e-08
                   15.76,               1.1997e-08
                   15.80,               1.2468e-08
                   15.84,               1.2625e-08
                   15.88,               1.3009e-08
                   15.92,               1.2959e-08
                   15.96,               1.2297e-08
                   16.00,               1.2128e-08
                   16.04,               1.1539e-08
                   16.08,               1.0316e-08
                   16.12,               9.6706e-09
                   16.16,               7.8166e-09
                   16.20,               3.3653e-09
                   16.24,               1.3972e-09
                   16.28,               8.8218e-10
                   16.32,               7.8580e-10
                   16.36,               9.2420e-10
                   16.40,               1.4245e-09
                   16.44,               3.2016e-09
                   16.48,               9.5979e-09
                   16.52,               1.8563e-08
                   16.56,               2.6572e-08
                   16.60,               3.2244e-08
                   16.64,               3.6110e-08
                   16.68,               4.0041e-08
                   16.72,               4.1933e-08
                   16.76,               4.3791e-08
                   16.80,               4.5063e-08
                   16.84,               4.4524e-08
                   16.88,               4.5247e-08
                   16.92,               4.7305e-08
                   16.96,               4.5104e-08
                   17.00,               4.2968e-08
                   17.04,               4.2330e-08
                   17.08,               3.7544e-08
                   17.12,               3.5536e-08
                   17.16,               3.0153e-08
                   17.20,               1.0901e-08
                   17.24,               3.0142e-09
                   17.28,               2.1173e-09
                   17.32,               2.4685e-09
                   17.36,               3.9375e-09
                   17.40,               6.9262e-09
                   17.44,               1.4952e-08
                   17.48,               4.0053e-08
                   17.52,               7.2671e-08
                   17.56,               1.0225e-07
                   17.60,               1.2841e-07
                   17.64,               1.4277e-07
                   17.68,               1.5682e-07
                   17.72,               1.6911e-07
                   17.76,               1.7554e-07
                   17.80,               1.8137e-07
                   17.84,               1.8300e-07
                   17.88,               1.8254e-07
                   17.92,               1.9052e-07
                   17.96,               1.8682e-07
                   18.00,               1.7633e-07
                   18.04,               1.7741e-07
                   18.08,               1.5887e-07
                   18.12,               1.4558e-07
                   18.16,               1.2589e-07
                   18.20,               4.0843e-08
                   18.24,               5.1129e-09
                   18.28,               1.6358e-09
                   18.32,               8.2223e-10
                   18.36,               5.1941e-10
                   18.40,               3.6199e-10
                   18.44,               2.6447e-10
                   18.48,               2.3152e-10
                   18.52,               2.4764e-10
                   18.56,               2.9688e-10
                   18.60,               3.7559e-10
                   18.64,               4.6463e-10
                   18.68,               5.4927e-10
                   18.72,               6.4353e-10
                   18.76,               7.1285e-10
                   18.80,               7.7236e-10
                   18.84,               8.0677e-10
                   18.88,               8.2500e-10
                   18.92,               8.5473e-10
                   18.96,               8.9349e-10
                   19.00,               8.7644e-10
                   19.04,               8.7160e-10
                   19.08,               8.5018e-10
                   19.12,               7.7436e-10
                   19.16,               7.2420e-10
                   19.20,               5.9869e-10
                   19.24,               4.0429e-10
                   19.28,               2.7424e-10
                   19.32,               1.9204e-10
                   19.36,               1.3454e-10
                   19.40,               1.1390e-10
                   19.44,               9.8067e-11
                   19.48,               1.0465e-10
                   19.52,               1.3268e-10
                   19.56,               1.8270e-10
                   19.60,               2.4349e-10
                   19.64,               3.2172e-10
                   19.68,               3.8778e-10
                   19.72,               4.4871e-10
                   19.76,               4.9771e-10
                   19.80,               5.3539e-10
                   19.84,               5.6901e-10
                   19.88,               5.9367e-10
                   19.92,               6.1121e-10
                   19.96,               6.2206e-10
                   20.00,               6.1486e-10
                   20.04,               6.0234e-10
                   20.08,               5.9470e-10
                   20.12,               5.6379e-10
                   20.16,               5.1254e-10
                   20.20,               3.9204e-10
                   20.24,               2.6395e-10
                   20.28,               1.7851e-10
                   20.32,               1.3583e-10
                   20.36,               9.5869e-11
                   20.40,               6.9911e-11
                   20.44,               5.2908e-11
                   20.48,               3.4610e-11
                   20.52,               2.6472e-11
                   20.56,               2.3901e-11
                   20.60,               1.8688e-11
                   20.64,               2.0319e-11
                   20.68,               1.5727e-11
                   20.72,               4.6454e-12
                   20.76,               7.6241e-12
                   20.80,               5.1950e-12
                   20.84,               4.2199e-12
                   20.88,               7.2695e-12
                   20.92,               4.9113e-12
                   20.96,               1.4007e-12
                   21.00,               7.6241e-12
                   21.04,               5.2482e-12
                   21.08,               8.5106e-12
                   21.12,               7.1986e-12
                   21.16,               2.0922e-12
                   21.20,              -2.1454e-12
                   21.24,               3.0674e-12
                   21.28,               1.2766e-12
                   21.32,               5.5319e-12
                   21.36,               3.3333e-12
                   21.40,              -2.6064e-12
                   21.44,               4.7872e-12
                   21.48,               9.6986e-12
                   21.52,               1.2855e-11
                   21.56,               1.6844e-11
                   21.60,               1.7128e-11
                   21.64,               1.6986e-11
                   21.68,               2.6418e-11
                   21.72,               2.4681e-11
                   21.76,               3.1543e-11
                   21.80,               3.2695e-11
                   21.84,               3.0532e-11
                   21.88,               2.8865e-11
                   21.92,               3.4752e-11
                   21.96,               3.3440e-11
                   22.00,               3.6507e-11
                   22.04,               3.2624e-11
                   22.08,               3.0887e-11
                   22.12,               3.4911e-11
                   22.16,               3.3440e-11
                   22.20,               2.7482e-11
                   22.24,               2.3972e-11
                   22.28,               1.8706e-11
                   22.32,               7.8901e-12
                   22.36,               1.1525e-11
                   22.40,               6.2411e-12
                   22.44,               4.5745e-12
                   22.48,               7.1277e-12
                   22.52,               6.2234e-12
                   22.56,               4.0248e-12
                   22.60,               7.3404e-12
                   22.64,              -1.3475e-12
                   22.68,              -6.5603e-13
                   22.72,              -2.3227e-12
                   22.76,              -8.5993e-12
                   22.80,              -2.8316e-11
                   22.84,              -1.7234e-11
                   22.88,              -1.5284e-11
                   22.92,               1.0567e-11
                   22.96,               7.7482e-12
                   23.00,               2.3050e-12
                   23.04,               3.9539e-12
                   23.08,               9.9291e-13
                   23.12,               3.5461e-14
                   23.16,              -2.3936e-12
                   23.20,              -1.5922e-11
                   23.24,              -3.3493e-11
                   23.28,              -2.3422e-11
                   23.32,              -2.1897e-11
                   23.36,              -3.1915e-12
                   23.40,               1.3067e-11
                   23.44,               5.0532e-12
                   23.48,               5.4787e-12
                   23.52,               7.2695e-12
                   23.56,               9.2199e-13
                   23.60,               2.3050e-12
                   23.64,               3.5461e-14
                   23.68,              -3.5284e-12
                   23.72,               3.9007e-12
                   23.76,               3.7411e-12
                   23.80,               9.3972e-13
                   23.84,               2.9965e-12
                   23.88,               5.8511e-13
                   23.92,              -1.2943e-12
                   23.96,               6.3652e-12
                   24.00,               9.3972e-13
                   24.04,               4.4326e-12
                   24.08,               5.5319e-12
                   24.12,               4.9645e-13
                   24.16,               7.8014e-13
                   24.20,               5.8156e-12
                   24.24,              -2.6064e-12
                   24.28,               3.7234e-13
                   24.32,              -4.2199e-12
                   24.36,              -1.9628e-11
                   24.40,              -2.2500e-11
                   24.44,              -1.9415e-11
                   24.48,              -9.4326e-12
                   24.52,               1.6844e-11
                   24.56,               9.8404e-12
                   24.60,               5.9574e-12
                   24.64,               1.2908e-11
                   24.68,               1.0745e-11
                   24.72,               1.7004e-11
                   24.76,               1.7837e-11
                   24.80,               1.4610e-11
                   24.84,               1.0674e-11
                   24.88,               1.7411e-11
                   24.92,               1.4876e-11
                   24.96,               1.5160e-11
                   25.00,               1.3883e-11
                   25.04,               1.0674e-11
                   25.08,               1.1933e-11
                   25.12,               1.4734e-11
                   25.16,               1.4876e-11
                   25.20,               1.5585e-11
                   25.24,               1.1028e-11
                   25.28,               4.5035e-12
                   25.32,               9.8404e-12
                   25.36,               6.9149e-12
                   25.40,               6.9149e-12
                   25.44,               4.8404e-12
                   25.48,               4.5745e-12
                   25.52,               7.8191e-12
                   25.56,               2.0035e-11
                   25.60,               2.6348e-11
                   25.64,               3.3794e-11
                   25.68,               3.8351e-11
                   25.72,               4.2199e-11
                   25.76,               5.5142e-11
                   25.80,               6.6064e-11
                   25.84,               6.8936e-11
                   25.88,               7.4858e-11
                   25.92,               7.6277e-11
                   25.96,               7.6755e-11
                   26.00,               8.9326e-11
                   26.04,               8.7872e-11
                   26.08,               9.0461e-11
                   26.12,               8.4681e-11
                   26.16,               8.2216e-11
                   26.20,               6.9096e-11
                   26.24,               6.2465e-11
                   26.28,               4.4273e-11
                   26.32,               4.0496e-11
                   26.36,               3.1472e-11
                   26.40,               2.1968e-11
                   26.44,               2.2394e-11
                   26.48,               2.3387e-11
                   26.52,               2.3688e-11
                   26.56,               3.3014e-11
                   26.60,               4.5035e-11
                   26.64,               5.7181e-11
                   26.68,               8.3457e-11
                   26.72,               1.0216e-10
                   26.76,               1.2222e-10
                   26.80,               1.4076e-10
                   26.84,               1.5996e-10
                   26.88,               1.7933e-10
                   26.92,               2.1044e-10
                   26.96,               2.2828e-10
                   27.00,               2.5851e-10
                   27.04,               2.9645e-10
                   27.08,               3.4642e-10
                   27.12,               4.2631e-10
                   27.16,               5.3970e-10
                   27.20,               6.6938e-10
                   27.24,               8.6504e-10
                   27.28,               1.1867e-09
                   27.32,               1.6552e-09
                   27.36,               2.3899e-09
                   27.40,               3.5978e-09
                   27.44,               5.5856e-09
                   27.48,               1.1783e-08
                   27.52,               2.6623e-08
                   27.56,               4.3475e-08
                   27.60,               6.0436e-08
                   27.64,               7.4141e-08
                   27.68,               8.6388e-08
                   27.72,               9.6916e-08
                   27.76,               1.0229e-07
                   27.80,               1.0391e-07
                   27.84,               1.0547e-07
                   27.88,               1.0623e-07
                   27.92,               1.0809e-07
                   27.96,               1.0422e-07
                   28.00,               1.0124e-07
                   28.04,               1.0373e-07
                   28.08,               9.1860e-08
                   28.12,               8.9589e-08
                   28.16,               6.5139e-08
                   28.20,               2.0222e-08
                   28.24,               4.1202e-09
                   28.28,               1.3370e-09
                   28.32,               6.9697e-10
                   28.36,               4.5098e-10
                   28.40,               3.2360e-10
                   28.44,               2.4785e-10
                   28.48,               2.1754e-10
                   28.52,               2.4124e-10
                   28.56,               3.0560e-10
                   28.60,               4.1410e-10
                   28.64,               5.4590e-10
                   28.68,               6.9316e-10
                   28.72,               8.5576e-10
                   28.76,               1.0109e-09
                   28.80,               1.1067e-09
                   28.84,               1.1716e-09
                   28.88,               1.2092e-09
                   28.92,               1.2342e-09
                   28.96,               1.2540e-09
                   29.00,               1.2301e-09
                   29.04,               1.2453e-09
                   29.08,               1.1913e-09
                   29.12,               1.1212e-09
                   29.16,               1.0196e-09
                   29.20,               7.3968e-10
                   29.24,               4.6498e-10
                   29.28,               3.1101e-10
                   29.32,               2.2005e-10
                   29.36,               1.5550e-10
                   29.40,               1.2406e-10
                   29.44,               1.0826e-10
                   29.48,               1.0431e-10
                   29.52,               1.3463e-10
                   29.56,               1.9246e-10
                   29.60,               2.7179e-10
                   29.64,               3.8051e-10
                   29.68,               4.9209e-10
                   29.72,               6.0149e-10
                   29.76,               7.0371e-10
                   29.80,               7.7140e-10
                   29.84,               8.1596e-10
                   29.88,               8.7048e-10
                   29.92,               8.9699e-10
                   29.96,               9.1255e-10
                   30.00,               9.1202e-10
                   30.04,               9.1078e-10
                   30.08,               8.7408e-10
                   30.12,               8.4207e-10
                   30.16,               7.3890e-10
                   30.20,               5.4142e-10
                   30.24,               3.5739e-10
                   30.28,               2.4051e-10
                   30.32,               1.7647e-10
                   30.36,               1.2750e-10
                   30.40,               9.3954e-11
                   30.44,               7.3475e-11
                   30.48,               6.1064e-11
                   30.52,               4.9894e-11
                   30.56,               5.2376e-11
                   30.60,               4.5018e-11
                   30.64,               5.1028e-11
                   30.68,               4.9504e-11
                   30.72,               4.7713e-11
                   30.76,               5.3298e-11
                   30.80,               6.2128e-11
                   30.84,               6.5213e-11
                   30.88,               7.6294e-11
                   30.92,               8.7660e-11
                   30.96,               1.0578e-10
                   31.00,               1.3592e-10
                   31.04,               1.7427e-10
                   31.08,               2.2658e-10
                   31.12,               2.8849e-10
                   31.16,               3.5365e-10
                   31.20,               4.4379e-10
                   31.24,               6.0110e-10
                   31.28,               8.2087e-10
                   31.32,               1.1579e-09
                   31.36,               1.6082e-09
                   31.40,               2.2375e-09
                   31.44,               3.4944e-09
                   31.48,               7.3777e-09
                   31.52,               1.6080e-08
                   31.56,               2.6555e-08
                   31.60,               3.5186e-08
                   31.64,               4.1977e-08
                   31.68,               5.2743e-08
                   31.72,               5.9117e-08
                   31.76,               6.1412e-08
                   31.80,               6.3192e-08
                   31.84,               6.4241e-08
                   31.88,               6.5764e-08
                   31.92,               6.4973e-08
                   31.96,               6.2647e-08
                   32.00,               6.3702e-08
                   32.04,               6.1701e-08
                   32.08,               5.4582e-08
                   32.12,               5.2556e-08
                   32.16,               2.8285e-08
                   32.20,               9.3811e-09
                   32.24,               2.2973e-09
                   32.28,               9.2385e-10
                   32.32,               5.2651e-10
                   32.36,               3.5475e-10
                   32.40,               2.5174e-10
                   32.44,               1.8514e-10
                   32.48,               1.4232e-10
                   32.52,               1.1011e-10
                   32.56,               9.0461e-11
                   32.60,               8.8759e-11
                   32.64,               8.0000e-11
                   32.68,               7.9681e-11
                   32.72,               8.1259e-11
                   32.76,               8.0709e-11
                   32.80,               7.8901e-11
                   32.84,               8.6117e-11
                   32.88,               8.5071e-11
                   32.92,               9.0621e-11
                   32.96,               9.0213e-11
                   33.00,               8.5089e-11
                   33.04,               8.7004e-11
                   33.08,               8.7323e-11
                   33.12,               8.3493e-11
                   33.16,               8.1755e-11
                   33.20,               6.7713e-11
                   33.24,               5.1862e-11
                   33.28,               4.8316e-11
                   33.32,               3.5337e-11
                   33.36,               3.1613e-11
                   33.40,               2.8422e-11
                   33.44,               2.2961e-11
                   33.48,               2.3812e-11
                   33.52,               3.7110e-11
                   33.56,               4.5035e-11
                   33.60,               6.3848e-11
                   33.64,               8.1613e-11
                   33.68,               1.0690e-10
                   33.72,               1.4282e-10
                   33.76,               1.6791e-10
                   33.80,               1.8984e-10
                   33.84,               2.0872e-10
                   33.88,               2.1800e-10
                   33.92,               2.2622e-10
                   33.96,               2.3812e-10
                   34.00,               2.3918e-10
                   34.04,               2.4152e-10
                   34.08,               2.3559e-10
                   34.12,               2.2613e-10
                   34.16,               2.0762e-10
                   34.20,               1.7071e-10
                   34.24,               1.2193e-10
                   34.28,               8.8422e-11
                   34.32,               6.5691e-11
                   34.36,               4.6011e-11
                   34.40,               3.7837e-11
                   34.44,               3.0390e-11
                   34.48,               2.1667e-11
                   34.52,               1.4326e-11
                   34.56,               1.0532e-11
                   34.60,               6.3652e-12
                   34.64,               8.9362e-12
                   34.68,               5.3901e-12
                   34.72,               4.9113e-12
                   34.76,               4.8404e-12
                   34.80,               4.8404e-12
                   34.84,               2.1099e-12
                   34.88,               7.0567e-12
                   34.92,               1.4184e-12
                   34.96,               2.7128e-12
                   35.00,               3.1206e-12
                   35.04,              -4.5035e-12
                   35.08,              -2.9202e-11
                   35.12,              -2.1064e-11
                   35.16,              -1.7429e-11
                   35.20,               4.2199e-12
