SRS RGASoft 4.1.0 - Residual Gas Analyzer Software
Document Created on, Thursday, October 9, 2025 1:42:28 PM, Central Daylight Time
RGA ID, SRSRGA200VER0.24SN18194


Scan Mode, Analog
Number of Data Points, 3726
Units, Torr
Start Mass, 1, AMU
Stop Mass, 150, AMU
Points Per AMU, 25
Scan Rate, 5.00
Detector, Faraday Cup
Focus Voltage, 90, V
Ion Energy, 12, eV
Electron Energy, 70, eV
CEM Voltage, 0, V
CEM Gain, 1.145
Partial Pressure Sensitivity Factor, 5.64
Total Pressure Sensitivity Factor, 0.237
Filament Current, 1.60, mA


Analog Scan Data
----------------

              Mass (AMU),         Intensity (Torr)
                   13.16,               1.2207e-10
                   13.20,               1.1725e-10
                   13.24,               1.0871e-10
                   13.28,               1.1690e-10
                   13.32,               1.3043e-10
                   13.36,               1.6470e-10
                   13.40,               2.3245e-10
                   13.44,               3.7211e-10
                   13.48,               7.6098e-10
                   13.52,               2.0194e-09
                   13.56,               4.0716e-09
                   13.60,               5.7183e-09
                   13.64,               6.8273e-09
                   13.68,               7.5871e-09
                   13.72,               8.5040e-09
                   13.76,               9.5062e-09
                   13.80,               1.0084e-08
                   13.84,               1.0464e-08
                   13.88,               1.0512e-08
                   13.92,               1.0524e-08
                   13.96,               1.0911e-08
                   14.00,               1.0888e-08
                   14.04,               1.0348e-08
                   14.08,               9.8918e-09
                   14.12,               9.5344e-09
                   14.16,               8.1987e-09
                   14.20,               4.7965e-09
                   14.24,               1.7426e-09
                   14.28,               8.3801e-10
                   14.32,               5.0750e-10
                   14.36,               3.3991e-10
                   14.40,               2.4676e-10
                   14.44,               1.9571e-10
                   14.48,               1.6511e-10
                   14.52,               1.7262e-10
                   14.56,               2.0138e-10
                   14.60,               2.5661e-10
                   14.64,               3.2911e-10
                   14.68,               3.8154e-10
                   14.72,               4.3810e-10
                   14.76,               4.9848e-10
                   14.80,               5.5858e-10
                   14.84,               6.1333e-10
                   14.88,               6.6991e-10
                   14.92,               6.8660e-10
                   14.96,               7.1824e-10
                   15.00,               7.4695e-10
                   15.04,               7.5924e-10
                   15.08,               7.5860e-10
                   15.12,               7.5892e-10
                   15.16,               7.4039e-10
                   15.20,               6.8599e-10
                   15.24,               5.2695e-10
                   15.28,               3.8475e-10
                   15.32,               3.2250e-10
                   15.36,               3.1456e-10
                   15.40,               3.6232e-10
                   15.44,               5.2768e-10
                   15.48,               1.0559e-09
                   15.52,               2.4340e-09
